name,cuisine,format,meal_type,red_flags,green_flags,ingredients
beef and broccoli,Asian,bowl,dinner,needs side,,"cauliflower, broccoli, beef, rice"
burgers,American,sandwich,dinner,"raw meat manipulation, lots of chopping",individualized,"tomato, pepper, cucumber, lettuce, spinach, broccoli, green bean, onion, mushroom, beef, bread"
korean bbq beef,Asian,segmented,dinner,needs a side and veg,,"cauliflower, carrot, pepper, cabbage, broccoli, green bean, pea, onion, beef"
thai basil beef,Asian,segmented,dinner,needs a side and veg,,"cauliflower, carrot, pepper, broccoli, green bean, onion, mushroom, beef"
sheet pan beef kebabs and naan,Asian,sheet pan,dinner,needs veg,one pan,"tomato, carrot, pepper, squash, onion, mushroom, beef, naan"
stroganoff,European,skillet,dinner,two pans,uses up leftovers,"carrot, cabbage, broccoli, green bean, mushroom, beef"
beef stew,American,soup,dinner,,"one pan, soup","tomato, carrot, celery, kale, green bean, pea, onion, beef, noodle"
chili and potatoes,American,bowl,dinner,,"microwave, pantry staples","tomato, cauliflower, pepper, onion, ground meat, rice"
pasta marinara,Italian,bowl,dinner,two pans,pantry staples,"tomato, carrot, pepper, onion, mushroom, ground meat, pasta"
lasagna casserole,Italian,casserole,dinner,"at least two pans, composed",,"tomato, cauliflower, carrot, pepper, onion, mushroom, ground meat"
shepherd's bowls,American,composed,dinner,"at least two pans, composed",,"carrot, celery, green bean, pea, onion, ground meat"
hamburger salad,American,salad,lunch,lots of chopping,lots of veggies,"tomato, carrot, pepper, cucumber, lettuce, spinach, onion, ground meat"
taco salad,Mexican,salad,lunch,lots of chopping,lots of veggies,"tomato, pepper, lettuce, spinach, onion, olive, ground meat, tortilla"
sloppy joes,American,sandwich,dinner,needs veg,premade items,"tomato, cauliflower, carrot, pepper, lettuce, squash, spinach, broccoli, green bean, onion, ground meat, bread"
white chicken chili,American,bowl,dinner,not universal,"one pan, soup","cauliflower, pepper, onion, chicken, rice"
orange chicken,Asian,bowl,dinner,,,"cauliflower, carrot, pepper, broccoli, green bean, onion, chicken, rice"
pad thai,Asian,bowl,dinner,,,"carrot, pepper, squash, pea, onion, chicken, noodle"
chicken broccoli mac and cheese,American,bowl,lunch,,universal,"broccoli, chicken, pasta"
tuscan chicken pasta,Italian,bowl,lunch,,,"spinach, chicken, pasta"
chicken tikka masala,Asian,bowl,dinner,two pans,,"tomato, cauliflower, carrot, pepper, cabbage, spinach, pea, onion, chicken, rice"
chicken cordon bleu casserole,European,casserole,dinner,"raw meat manipulation, composed",,"tomato, carrot, cucumber, lettuce, spinach, broccoli, green bean, pea, onion, chicken"
chicken parm casserole,Italian,casserole,dinner,,,"tomato, carrot, pepper, onion, mushroom, chicken"
bbq chicken salad,American,salad,lunch,lots of chopping,lots of veggies,"tomato, carrot, pepper, cucumber, lettuce, spinach, green bean, onion, olive, chicken"
Chinese salad,Asian,salad,lunch,,,"carrot, pepper, cucumber, lettuce, spinach, pea, onion, chicken"
chicken bacon ranch salad,American,salad,lunch,lots of chopping,lots of veggies,"tomato, carrot, pepper, cucumber, lettuce, spinach, onion, chicken"
chicken Greek salad,European,salad,lunch,lots of chopping,"lots of veggies, pantry staples","tomato, cucumber, lettuce, spinach, onion, olive, artichoke, chicken"
strawb/spinach salad w/ chic & feta,American,salad,lunch,,,"lettuce, spinach, onion, artichoke, chicken"
chicken salad,American,sandwich,lunch,not universal,pantry staples,"tomato, carrot, pepper, cucumber, celery, lettuce, spinach, pea, onion, chicken, bread"
balsamic chicken with pasta,Italian,segmented,dinner,,,"tomato, carrot, pepper, squash, onion, chicken, pasta"
italian dressing chicken,Italian,segmented,dinner,needs side and veg,premade items,"tomato, carrot, pepper, cucumber, onion, chicken"
chicken & waffles w/ maple carrots,American,segmented,dinner,,,"carrot, chicken, bread"
chicken satay,Asian,sheet pan,dinner,,,"cauliflower, carrot, pepper, cucumber, cabbage, kale, spinach, broccoli, green bean, onion, chicken"
sheet pan chic kebabs & naan,Asian,sheet pan,dinner,needs veg,one pan,"tomato, carrot, pepper, squash, onion, mushroom, chicken, naan"
chicken noodle soup,American,soup,dinner,,,"carrot, celery, pea, onion, chicken, pasta"
chicken and dumplings,American,soup,dinner,,"one pan, soup, premade items","carrot, celery, pea, onion, chicken, dumpling"
fish boil,American,bowl,dinner,,,"cauliflower, carrot, fish, rice"
jambalaya,American,bowl,dinner,,,"tomato, carrot, pepper, celery, green bean, onion, fish, rice"
sushi bowls,Asian,bowl,lunch,,,"carrot, pepper, cucumber, fish, rice"
fish tacos,Mexican,composed,dinner,,,"cabbage, onion, fish, tortilla"
tuna salad,American,sandwich,lunch,not universal,,"tomato, carrot, pepper, cucumber, celery, lettuce, pea, onion, tuna, bread"
simplified fish and chips,European,segmented,dinner,,,"tomato, cauliflower, carrot, cucumber, cabbage, lettuce, spinach, pea, fish"
ginger honey soy salmon,Asian,segmented,dinner,,,"cauliflower, carrot, pepper, cabbage, broccoli, green bean, pea, onion, salmon"
jerk fish,American,segmented,dinner,,,"tomato, cauliflower, carrot, pepper, cucumber, squash, green bean, onion, fish"
salmon and apricot rice,Asian,segmented,dinner,,,"carrot, lettuce, broccoli, green bean, pea, onion, salmon, rice"
salmon bagel sandwich,American,segmented,breakfast,,,"tomato, pepper, cucumber, lettuce, spinach, onion, salmon, bread"
fried rice,Asian,bowl,dinner,not universal,,"cauliflower, carrot, pepper, celery, cabbage, broccoli, green bean, pea, onion, egg, rice"
lo mein,Asian,bowl,dinner,,,"carrot, pepper, cabbage, broccoli, green bean, pea, onion, noodle"
ramen,Asian,bowl,lunch,,universal,"carrot, pepper, cabbage, green bean, pea, onion, noodle"
pasta salad,Italian,bowl,lunch,not universal,,"tomato, carrot, pepper, cucumber, pea, onion, olive, artichoke, pasta"
quesadillas,Mexican,composed,lunch,,universal,"tomato, pepper, onion, tortilla"
tacos,Mexican,composed,dinner,,universal,"tomato, pepper, cucumber, lettuce, onion, tortilla"
pot pies,American,composed,dinner,,,"carrot, celery, green bean, pea, onion, bread"
nachos,Mexican,sheet pan,lunch,,universal,"tomato, pepper, lettuce, onion, olive, tortilla"
enchiladas,Mexican,skillet,dinner,,universal,"tomato, pepper, onion, tortilla"
fajitas,Mexican,skillet,dinner,,universal,"tomato, carrot, pepper, onion, tortilla"
Cafe Rio copycat salad,Mexican,salad,lunch,,,"tomato, pepper, lettuce, onion, pork"
pulled pork sandwiches,American,sandwich,lunch,,,"tomato, carrot, pepper, cucumber, lettuce, spinach, green bean, onion, pork, bread"
German dinner,European,sheet pan,dinner,,,"cabbage, pork"
Swedish meatballs,European,skillet,dinner,,,"green bean, pork"
pork posole,Mexican,soup,dinner,,universal,"tomato, cabbage, onion, pork, noodle"
bacon grits,American,bowl,breakfast,,,"tomato, pepper, green bean, onion, bacon, grits"
loaded stuffing,American,bowl,dinner,,,"carrot, celery, kale, green bean, pea, onion, sausage, rice"
black bean enchiladas,Mexican,casserole,dinner,,universal,"tomato, pepper, kale, onion, black bean, tortilla"
breakfast burrito,Mexican,composed,breakfast,,,"tomato, pepper, kale, onion, egg, sausage, tortilla"
breakfast pizza,American,composed,breakfast,,universal,"tomato, pepper, kale, onion, mushroom, egg, sausage, pizza dough"
charcuterie,European,composed,dinner,,,"tomato, carrot, pepper, cucumber, olive, mushroom, sausage"
hawaiian pizza,American,composed,dinner,,universal,"tomato, pepper, kale, onion, olive, ham, pizza dough"
pepperoni and olive pizza,Italian,composed,dinner,,universal,"tomato, carrot, pepper, onion, mushroom, pepperoni, pizza dough"
sausage and peppers pizza,Italian,composed,dinner,,universal,"tomato, carrot, pepper, onion, mushroom, sausage, pizza dough"
subway copycat salad,American,salad,lunch,,,"tomato, carrot, pepper, cucumber, lettuce, spinach, onion, sausage"
bacon egg and cheese sandwich,American,sandwich,breakfast,,universal,"tomato, pepper, cucumber, lettuce, spinach, green bean, onion, mushroom, egg, bacon, bread"
BLTs,American,sandwich,lunch,,universal,"tomato, carrot, pepper, cucumber, lettuce, broccoli, onion, bacon, bread"
lunchable,American,sandwich,lunch,,,"tomato, carrot, pepper, cucumber, mushroom, sausage, bread"
reubens,European,sandwich,dinner,,,"cabbage, onion, sausage, bread"
turkey sandwiches,American,sandwich,lunch,not universal,,"tomato, carrot, pepper, cucumber, lettuce, spinach, green bean, pea, onion, turkey, bread"
breakfast corndogs,American,segmented,breakfast,,,"tomato, pepper, cucumber, green bean, sausage"
cajun beans & cornbread w/sausage,American,segmented,dinner,,,"tomato, carrot, pepper, cucumber, celery, kale, squash, green bean, pea, onion, sausage, cornbread"
corn dogs,American,segmented,lunch,,universal,"tomato, cauliflower, pepper, pea, onion, sausage"
biscuits and gravy,American,segmented,breakfast,,,"kale, green bean, pea, sausage"
hot dogs,American,segmented,lunch,,universal,"tomato, pepper, cucumber, lettuce, pea, onion, sausage"
kielbasa potato veg skillet,European,skillet,dinner,,universal,"tomato, cauliflower, pepper, cabbage, kale, broccoli, green bean, pea, onion, potato, sausage"
denver omelette,American,skillet,breakfast,,,"tomato, pepper, cucumber, onion, mushroom, egg, ham"
zuppa toscana,Italian,soup,dinner,,,"kale, onion, potato, sausage, noodle"
buffalo chickpeas,American,bowl,lunch,not universal,,"cauliflower, carrot, pepper, cucumber, celery, lettuce, chickpea, rice"
elote succotash,Mexican,bowl,lunch,not universal,,"tomato, pepper, corn, onion, rice"
apple berry quinoa,American,bowl,breakfast,,,"quinoa"
rice and beans,non-specific,bowl,lunch,,,"tomato, carrot, pepper, celery, kale, broccoli, green bean, onion, black bean, rice"
pesto tortellini,Italian,bowl,lunch,not universal,premade items,"tomato, pepper, onion, pasta"
italian baked eggs,Italian,bowl,dinner,,,"tomato, carrot, pepper, onion, mushroom, egg, rice"
oatmeal,American,bowl,breakfast,,,"oat"
overnight oats,American,bowl,breakfast,,,"oat"
parfaits,European,bowl,breakfast,not universal,,"yogurt"
smoothie,American,bowl,breakfast,cold,,"cucumber, spinach"
french toast casserole,European,casserole,breakfast,,universal,"bread"
chipotle black bean burritos,Mexican,composed,lunch,,,"tomato, pepper, black bean, tortilla"
PB banana roll ups,American,composed,breakfast,,universal,"tortilla"
apple nachos with granola,American,composed,breakfast,,universal,"tortilla"
broccoli pizza,Italian,composed,dinner,,universal,"tomato, broccoli, pepper, onion, mushroom, pizza dough"
margherita pizza,Italian,composed,dinner,,universal,"tomato, pepper, onion, mushroom, pizza dough"
protein granola bars,American,composed,breakfast,,,"carrot, squash"
egg and avocado sandwich,American,sandwich,breakfast,not universal,,"tomato, pepper, cucumber, lettuce, spinach, avocado, green bean, onion, egg, bread"
egg salad,American,sandwich,lunch,not universal,,"tomato, carrot, pepper, cucumber, celery, lettuce, spinach, onion, egg, bread"
falafel pitas,Asian,sandwich,lunch,,,"tomato, pepper, lettuce, onion, chickpea, pita"
potatoes and eggs,American,segmented,breakfast,not universal,,"tomato, pepper, potato, kale, onion, mushroom, egg"
chiles rellenos,Mexican,segmented,dinner,,,"tomato, pepper, onion, egg"
apple cinnamon muffins,American,segmented,breakfast,,universal,""
banana almond muffins,American,segmented,breakfast,,universal,""
blueberry lemon muffins,American,segmented,breakfast,,universal,"blueberry"
carrot raisin muffins,American,segmented,breakfast,,universal,"carrot, raisin"
choc chip pumpkin muffins,American,segmented,breakfast,,universal,"squash"
cranberry orange muffins,American,segmented,breakfast,,universal,""
double chocolate zucchini muffins,American,segmented,breakfast,,universal,"zucchini"
grilled cheese and tomato soup,American,segmented,lunch,,universal,"tomato, cauliflower, pepper, broccoli, bread"
protein pancakes,American,segmented,breakfast,standing,universal,"bread"
huevos rancheros,Mexican,skillet,breakfast,not universal,,"tomato, pepper, onion, egg, tortilla"
tortellini soup,Italian,soup,dinner,chopping,"soup, universal","tomato, carrot, pepper, celery, kale, onion, pasta"
